category,nctid,name,phase,summary
new hit from stringent search,NCT04479358,Tocilizumab,Phase 2,"COVID-19's high mortality may be driven by hyperinflammation. Interleukin-6 (IL-6) axis therapies may reduce COVID-19 mortality. Retrospective analyses of tocilizumab in severe to critical COVID-19 patients have demonstrated survival advantage and lower likelihood of requiring invasive ventilation following tocilizumab administration. The majority of patients have rapid resolution (i.e., within 24-72 hours following administration) of both clinical and biochemical signs (fever and CRP, respectively) of hyperinflammation with only a single tocilizumab dose.

The investigators hypothesized that a dose of tocilizumab significantly lower than the EMA- and FDA-labeled dose (8mg/kg) as well as the emerging standard of care dose (400mg) may be effective in patients with COVID-19 pneumonitis and hyperinflammation. Advantages to the lower dose of tocilizumab may include lower likelihood of secondary bacterial infections as well as extension of this drug's limited supply. The investigators conducted an adaptive single-arm phase 2 trial (NCT04331795) evaluating clinical and biochemical response to low-dose tocilizumab in patients with COVID-19 pneumonitis and hyperinflammation.

This multi-center, prospective, randomized controlled phase 2 trial -- designed as two sub-studies to allow for the possible emergence of data demonstrating the clinical efficacy of tocilizumab 8mg/kg or 400mg -- formally tests the clinical efficacy of low-dose tocilizumab in COVID-19 pneumonia.

Sub-Study A Primary Objective A: To establish whether low-dose tocilizumab reduces the time to clinical recovery in patients with COVID-19 pneumonitis and hyperinflammation, when compared to a tocilizumab-free standard of care.

Hypothesis A: The investigators hypothesize that low-dose tocilizumab, when compared to a tocilizumab-free standard of care, decreases the time to recovery in hospitalized, non-invasively ventilated patients with COVID-19 pneumonitis and hyperinflammation by three days or more.

Sub-Study B Primary Objective B: To establish whether low-dose tocilizumab is near-equivalent to high-dose tocilizumab (400mg or 8 mg/kg) in reducing the time to clinical recovery in patients with COVID-19 pneumonitis and hyperinflammation.

Hypothesis B: The investigators hypothesize that low-dose tocilizumab is near-equivalent to high-dose tocilizumab in reducing the time to clinical recovery in hospitalized, non-invasively ventilated patients with COVID-19 pneumonitis and hyperinflammation."
new hit from stringent search,NCT04452474,Olokizumab 64 mg,"Phase 2, Phase 3",The primary objective of the study is to evaluate the efficacy of a single dose of OKZ (64 mg) vs placebo in addition to standard therapy in patients with severe SARS-CoV-2 infection (COVID-19) at Day 29.
new hit from stringent search,NCT04445272,Tocilizumab,Phase 2,"At present, no treatment has been approved for COVID-19. However, in light of the increased interest on using the anti-cytokine therapy targeting IL-6 tocilizumab in COVID-19 infected patients due to its potential benefit, the Spanish Agency for Medicine and Health Products (Agencia Española de Medicamentos y Productos Sanitarios, AEMPS) have initiated the controlled distribution of the drug. Tocilizumab is indeed proposed as a potential treatment for severe COVID-19 in Spain. Based on the positive results of tocilizumab in the treatment of COVID-19 patients and the experience of tocilizumab in inducing rapid reversal of CSS in other pathologies several clinical trials and observational studies are being conducted to assess the effectiveness and safety of tocilizumab in COVID-19 patients. Further studies with a large sample size are required to confirm the effectiveness of tocilizumab in patients with COVID-19 pneumonia.

The need for the management of severe COVID-19 disease is imperative, and every effort should be made to collect relevant clinical outcomes. The aim of the present study is to evaluate the effectiveness of IV tocilizumab in treating patients with COVID-19 pneumonia who are currently hospitalized or admitted to ICU by describing improvement of respiratory function and mortality rate. This large real-world cohort therefore provides a unique opportunity to study this potential medicine during the current emergency situation, and support the findings from other ongoing clinical trials and observational studies, such as the Roche-sponsored Phase III study that is planned to start early April."
new hit from stringent search,NCT04412772,Tocilizumab,Phase 3,"The overall objective is to evaluate the clinical efficacy and safety of tocilizumab relative to placebo among approximately 300 hospitalized adult patients who have severe COVID-19. The study will be a 2 arm double blinded comparison between tocilizumab 8 mg/kg and matching placebo IV. The dose may be repeated in 8-12 hours if clinical symptoms worsens, (e.g. increase in oxygen requirements). Participants will be followed for 28 days."
new hit from stringent search,NCT04397562,Levilimab,Phase 3,The objective: to study the efficacy and safety of levilimab in subjects with severe COVID-19.
new hit from stringent search,NCT04381052,Clazakizumab,Phase 2,"In this study, the investigators propose to administer clazakizumab to patients with life-threatening Coronavirus Disease 2019 (COVID-19) infection manifest by pulmonary failure and a clinical picture consistent with a cytokine storm syndrome. This is a single-center randomized, double-blind, placebo-controlled trial in which 30 patients will be enrolled and randomly assigned in a 1:1 ratio to two study arms and receive clazakizumab at a dose of 25 mg or placebo."
new hit from stringent search,NCT04377659,Tocilizumab,Phase 2,The purpose of this study is to find out whether the study drug tocilizumab is an effective treatment for COVID-19 infection.
new hit from stringent search,NCT04345445,Tocilizumab,Phase 3,"This study aims to compare the efficacy and safety of Methylprednisolone versus Tocilizumab in improving clinical outcomes and reducing the need for ventilator support in COVID-19 patients with moderate COVID-19 disease at risk for complications of cytokine storm. Approximately 310 participants hospitalized with COVID-19 in UMMC, Hospital Sungai Buloh, Hospital Kuala Lumpur and Hospital Tuanku Jaafar will be enrolled into this study.

Eligible participants will be selected based on a set of clinical, laboratory and radiological parameters indicative of early stages of CRS and lung function decline prior to being randomized at a ratio of 1:1 to receive either Tocilizumab or Methylprednisolone. Participants will be monitored daily for clinical and laboratory parameters, and at 48 hours, switched to the alternate study arm should they manifest signs and symptoms indicative of decompensation."
new hit from stringent search,NCT04332094,Tocilizumab,Phase 2,"COVID-19 is a respiratory disease caused by the new coronavirus (SARS-CoV-2) and causes considerable morbidity and mortality.

Currently, there is no vaccine or therapeutic agent to prevent and treat a SARS-CoV-2 infection. This clinical trial is designed to evaluate the use of Tocilizumab in combination with hydroxychloroquine and azithromycin for the treatment of hospitalized adult patients with COVID-19."
new hit from stringent search,NCT04331795,Tocilizumab,Phase 2,"Coronavirus disease-2019 (COVID-19) has a quoted inpatient mortality as high as 25%. This high mortality may be driven by hyperinflammation resembling cytokine release syndrome (CRS), offering the hope that therapies targeting the interleukin-6 (IL-6) axis therapies commonly used to treat CRS can be used to reduce COVID-19 mortality. Retrospective analysis of severe to critical COVID-19 patients receiving tocilizumab demonstrated that the majority of patients had rapid resolution (i.e., within 24-72 hours following administration) of both clinical and biochemical signs (fever and CRP, respectively) of hyperinflammation with only a single tocilizumab dose.

Hypotheses:

Tocilizumab is effective in decreasing signs, symptoms, and laboratory evidence of COVID-19 pneumonitis in hospitalized, non-critically ill patients with clinical risk factors for clinical decompensation, intensive care utilization, and death.
Low-dose tocilizumab is effective in decreasing signs, symptoms, and laboratory evidence of COVID-19 pneumonitis in hospitalized, non-critically ill patients with and without clinical risk factors for clinical decompensation, intensive care utilization, and death.

Objectives:

To establish proof of concept that tocilizumab is effective in decreasing signs, symptoms, and laboratory evidence of COVID-19 pneumonitis in hospitalized, non-critically ill patients with clinical risk factors for clinical decompensation, intensive care utilization, and death, as determined by the clinical outcome of resolution of fever and the biochemical outcome measures of time to CRP normalization for the individual patient and the rate of patients whose CRP normalize.
To establish proof of concept that low-dose tocilizumab is effective in decreasing signs, symptoms, and laboratory evidence of COVID-19 pneumonitis in hospitalized, non-critically ill patients without clinical risk factors for clinical decompensation, intensive care utilization, and death, as determined by the clinical outcome of resolution of fever and the biochemical outcome measures of time to CRP normalization for the individual patient and the rate of patients whose CRP normalize."
